Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Age_of_Car,Power_per_Liter,Mileage_per_Seat
3087,BMW 3 Series 320d,Coimbatore,2013,85846,0,1,First,22.69,1995.0,190.0,5.0,13.08,12,8.37,4.54
3150,Maruti S Cross DDiS 320 Alpha,Delhi,2015,16607,0,0,First,22.7,1598.0,118.0,5.0,7.65,10,5.2,4.54
3174,Hyundai Verna 1.6 SX,Kolkata,2011,34994,0,0,First,22.32,1582.0,126.32,5.0,3.9,14,5.66,4.46
3187,Volkswagen Vento Diesel Highline,Chennai,2013,150000,0,0,First,20.54,1598.0,103.6,5.0,5.0,12,5.04,4.11
3193,Hyundai Elantra CRDi SX,Bangalore,2012,36000,0,0,Second,22.7,1582.0,126.24,5.0,7.5,13,5.56,4.54
3253,Maruti SX4 S Cross DDiS 320 Zeta,Coimbatore,2016,61717,0,0,First,22.7,1598.0,118.0,5.0,8.94,9,5.2,4.54
3257,Hyundai Verna 1.6 CRDi EX AT,Pune,2013,114000,0,1,First,22.32,1582.0,126.3,5.0,6.75,12,5.66,4.46
3311,Volkswagen Vento Diesel Comfortline,Chennai,2014,70010,0,0,First,20.54,1598.0,103.6,5.0,5.25,11,5.04,4.11
3330,Volkswagen Vento Diesel Breeze,Bangalore,2013,43000,0,0,First,20.5,1598.0,105.0,5.0,5.95,12,5.12,4.1
3342,Maruti S Cross DDiS 320 Alpha,Kolkata,2016,45000,0,0,First,22.7,1598.0,118.0,5.0,7.0,9,5.2,4.54
3346,Volkswagen Vento Diesel Highline,Pune,2012,115000,0,0,Second,20.54,1598.0,103.6,5.0,4.33,13,5.04,4.11
3357,Hyundai Verna 1.6 SX,Hyderabad,2012,65000,0,0,First,22.32,1582.0,126.32,5.0,6.2,13,5.66,4.46
3417,BMW 3 Series 320d,Mumbai,2010,67000,0,1,Second,22.69,1995.0,190.0,5.0,9.25,15,8.37,4.54
3478,Hyundai Elantra CRDi SX,Mumbai,2013,40000,0,0,Second,22.7,1582.0,126.24,5.0,6.95,12,5.56,4.54
3494,Hyundai Verna 1.6 SX,Hyderabad,2012,83678,0,0,First,22.32,1582.0,126.32,5.0,5.5,13,5.66,4.46
3500,BMW 5 Series 520d Luxury Line,Delhi,2013,65000,0,1,First,22.48,1995.0,190.0,5.0,21.26,12,8.45,4.5
3577,Hyundai Elantra CRDi SX AT,Delhi,2013,71000,0,1,First,22.7,1582.0,126.2,5.0,6.8,12,5.56,4.54
3581,BMW 3 Series Luxury Line,Ahmedabad,2016,27000,0,1,First,21.76,1995.0,190.0,5.0,35.0,9,8.73,4.35
3613,Maruti S Cross DDiS 320 Alpha,Kolkata,2016,45194,0,0,First,22.7,1598.0,118.0,5.0,7.75,9,5.2,4.54
3620,Skoda Rapid 1.6 TDI Elegance,Hyderabad,2013,93000,0,0,First,20.5,1598.0,103.5,5.0,5.0,12,5.05,4.1
3629,Hyundai Verna 1.6 CRDi S,Delhi,2015,57000,0,0,First,23.9,1582.0,126.2,5.0,6.6,10,5.28,4.78
3671,Volkswagen Vento Diesel Highline,Hyderabad,2010,71000,0,0,First,20.54,1598.0,103.6,5.0,4.25,15,5.04,4.11
3690,Volkswagen Vento Diesel Highline,Ahmedabad,2011,51100,0,0,First,20.54,1598.0,103.6,5.0,3.4,14,5.04,4.11
3697,BMW 5 Series 520d Luxury Line,Ahmedabad,2010,46000,0,1,First,22.48,1995.0,190.0,5.0,16.5,15,8.45,4.5
3706,BMW 3 Series Luxury Line,Mumbai,2016,31000,0,1,First,21.76,1995.0,190.0,5.0,29.95,9,8.73,4.35
3735,BMW 3 Series 320d,Hyderabad,2010,80000,0,1,First,22.69,1995.0,190.0,5.0,14.2,15,8.37,4.54
3776,Hyundai Verna 1.6 SX CRDi (O),Ahmedabad,2012,52000,0,0,First,22.32,1582.0,126.32,5.0,6.5,13,5.66,4.46
3787,Hyundai Verna 1.6 CRDI SX Option,Kochi,2019,30529,0,0,First,23.9,1582.0,126.2,5.0,14.28,6,5.28,4.78
3852,BMW 3 Series 320d,Kochi,2012,55598,0,1,First,22.69,1995.0,190.0,5.0,11.5,13,8.37,4.54
3890,Skoda Rapid 1.6 TDI Elegance,Hyderabad,2013,71803,0,0,First,20.5,1598.0,103.5,5.0,5.75,12,5.05,4.1
3917,Hyundai Elantra CRDi SX,Kolkata,2014,45000,0,0,First,22.7,1582.0,126.24,5.0,7.0,11,5.56,4.54
3936,Volkswagen Vento Diesel Highline,Pune,2013,95500,0,0,First,20.54,1598.0,103.6,5.0,5.0,12,5.04,4.11
3951,Maruti SX4 S Cross DDiS 320 Zeta,Mumbai,2016,38000,0,0,First,22.7,1598.0,118.0,5.0,7.85,9,5.2,4.54
3970,Volkswagen Vento Diesel Trendline,Chennai,2011,41000,0,0,First,20.54,1598.0,103.6,5.0,4.0,14,5.04,4.11
4023,Hyundai Verna 1.6 SX CRDi (O),Kolkata,2014,58000,0,0,First,22.32,1582.0,126.32,5.0,5.75,11,5.66,4.46
4069,BMW 5 Series 520d Luxury Line,Coimbatore,2014,60280,0,1,First,22.48,1995.0,190.0,5.0,22.45,11,8.45,4.5
4090,Hyundai Verna 1.6 CRDi SX,Delhi,2015,62542,0,0,Second,23.9,1582.0,126.2,5.0,6.5,10,5.28,4.78
4171,Hyundai Elantra CRDi SX,Kolkata,2013,42000,0,0,First,22.7,1582.0,126.24,5.0,5.85,12,5.56,4.54
4177,Hyundai Verna 1.6 SX,Hyderabad,2012,65254,0,0,First,22.32,1582.0,126.32,5.0,6.55,13,5.66,4.46
4178,Hyundai Verna 1.6 SX,Bangalore,2014,95000,0,0,Second,22.32,1582.0,126.32,5.0,6.9,11,5.66,4.46
4180,Hyundai Creta 1.6 SX Option Diesel,Coimbatore,2017,101065,0,0,First,20.5,1582.0,126.2,5.0,11.45,8,6.16,4.1
4182,Hyundai Verna 1.6 CRDI,Jaipur,2011,72000,0,0,First,22.32,1582.0,126.3,5.0,5.0,14,5.66,4.46
4187,BMW 3 Series 320d Sport,Chennai,2012,58000,0,1,Second,22.69,1995.0,190.0,5.0,15.3,13,8.37,4.54
4283,Hyundai Verna 1.6 SX CRDI (O) AT,Pune,2014,57539,0,1,First,22.32,1582.0,126.32,5.0,7.75,11,5.66,4.46
4287,Volkswagen Vento Diesel Trendline,Chennai,2012,130000,0,0,First,20.54,1598.0,103.6,5.0,4.75,13,5.04,4.11
4303,Volkswagen Vento Diesel Comfortline,Kochi,2013,47910,0,0,First,20.54,1598.0,103.6,5.0,4.89,12,5.04,4.11
4327,BMW X1 xDrive 20d M Sport,Kolkata,2017,27001,0,1,First,20.68,1995.0,190.0,5.0,29.0,8,9.19,4.14
4335,Volkswagen Vento Diesel Comfortline,Kochi,2014,52400,0,0,First,20.54,1598.0,103.6,5.0,5.36,11,5.04,4.11
4406,Volkswagen Vento Diesel Trendline,Chennai,2011,99807,0,0,First,20.54,1598.0,103.6,5.0,3.75,14,5.04,4.11
4541,BMW 3 Series 320d,Mumbai,2011,51000,0,1,First,22.69,1995.0,190.0,5.0,10.5,14,8.37,4.54
4551,BMW 5 Series 520d Luxury Line,Coimbatore,2011,51602,0,1,First,22.48,1995.0,190.0,5.0,17.27,14,8.45,4.5
4554,BMW 3 Series Luxury Line,Pune,2016,70000,0,1,Second,21.76,1995.0,190.0,5.0,27.0,9,8.73,4.35
4601,BMW X1 sDrive 20d xLine,Coimbatore,2019,15456,0,1,First,20.68,1995.0,190.0,5.0,36.64,6,9.19,4.14
4617,Hyundai Verna 1.6 SX CRDi (O),Hyderabad,2013,48158,0,0,First,22.32,1582.0,126.32,5.0,6.7,12,5.66,4.46
4645,BMW 1 Series 118d Base,Pune,2015,46001,0,1,First,20.58,1995.0,143.0,5.0,16.0,10,6.95,4.12
4742,Mini Cooper Countryman D,Bangalore,2014,35165,0,1,Second,23.8,1998.0,112.0,5.0,22.0,11,4.71,4.76
4766,Volkswagen Vento Diesel Highline,Chennai,2012,55000,0,0,First,20.54,1598.0,103.6,5.0,4.9,13,5.04,4.11
4780,Hyundai Creta 1.6 SX Option Diesel,Bangalore,2016,93000,0,0,First,20.5,1582.0,126.2,5.0,10.8,9,6.16,4.1
4782,Audi A3 35 TDI Premium,Mumbai,2016,20003,0,1,First,20.38,1968.0,143.0,5.0,19.25,9,7.02,4.08
4795,BMW 3 Series Luxury Line,Kochi,2018,21936,0,1,First,21.76,1995.0,190.0,5.0,37.92,7,8.73,4.35
4803,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2013,69573,0,0,Second,22.32,1582.0,126.32,5.0,5.85,12,5.66,4.46
4815,Volkswagen Vento Diesel Comfortline,Pune,2012,75000,0,0,Third,20.54,1598.0,103.6,5.0,3.5,13,5.04,4.11
4817,Hyundai Elantra CRDi SX,Coimbatore,2019,41871,0,0,First,22.7,1582.0,126.2,5.0,15.57,6,5.56,4.54
4832,Skoda Rapid 1.6 TDI Ambition,Hyderabad,2012,180000,0,0,First,20.5,1598.0,103.5,5.0,3.65,13,5.05,4.1
4841,BMW 3 Series 320d,Hyderabad,2011,89000,0,1,First,22.69,1995.0,190.0,5.0,13.95,14,8.37,4.54
4910,Volkswagen Vento Diesel Highline,Delhi,2013,75000,0,0,First,20.54,1598.0,103.6,5.0,4.5,12,5.04,4.11
4927,Skoda Rapid 1.6 TDI Active,Mumbai,2013,45000,0,0,First,20.5,1598.0,103.5,5.0,3.65,12,5.05,4.1
4973,Hyundai Verna CRDi 1.6 SX Option,Hyderabad,2008,109606,0,0,First,22.0,1582.0,126.2,5.0,2.9,17,5.74,4.4
4984,Hyundai Creta 1.6 SX Option Diesel,Coimbatore,2019,24864,0,0,First,20.5,1582.0,126.2,5.0,16.27,6,6.16,4.1
4989,Audi A3 35 TDI Premium Plus,Mumbai,2016,39000,0,1,First,20.38,1968.0,143.0,5.0,18.9,9,7.02,4.08
5084,Hyundai Verna 1.6 SX,Kochi,2015,60519,0,0,First,22.32,1582.0,126.32,5.0,6.24,10,5.66,4.46
5090,Hyundai Verna CRDi 1.6 SX Option,Mumbai,2013,79225,0,0,First,22.0,1582.0,126.2,5.0,5.5,12,5.74,4.4
5093,Hyundai Verna 1.6 CRDi S,Chennai,2015,85000,0,0,First,23.9,1582.0,126.2,5.0,6.3,10,5.28,4.78
5108,Skoda Rapid 1.6 TDI Ambition,Bangalore,2012,72000,0,0,First,20.5,1598.0,103.5,5.0,4.6,13,5.05,4.1
5113,Skoda Rapid 1.6 TDI Elegance,Delhi,2012,62000,0,0,Second,20.5,1598.0,103.5,5.0,3.0,13,5.05,4.1
5131,Hyundai Verna 1.6 SX,Delhi,2011,67000,0,0,First,22.32,1582.0,126.32,5.0,3.8,14,5.66,4.46
5139,Maruti SX4 S Cross DDiS 320 Zeta,Coimbatore,2016,63316,0,0,First,22.7,1598.0,118.0,5.0,9.58,9,5.2,4.54
5188,Hyundai Verna CRDi 1.6 AT SX Plus,Bangalore,2012,79000,0,1,First,22.0,1582.0,126.2,5.0,5.25,13,5.74,4.4
5229,BMW 3 Series 320d,Bangalore,2012,73000,0,1,First,22.69,1995.0,190.0,5.0,12.5,13,8.37,4.54
5236,Hyundai Verna 1.6 SX CRDi (O),Chennai,2012,45000,0,0,First,22.32,1582.0,126.32,5.0,6.25,13,5.66,4.46
5254,Hyundai Elantra 1.6 SX,Pune,2013,170000,0,0,First,22.54,1582.0,126.2,5.0,7.5,12,5.6,4.51
5304,BMW 3 Series Luxury Line,Bangalore,2017,21000,0,1,First,21.76,1995.0,190.0,5.0,35.0,8,8.73,4.35
5328,BMW 3 Series 320d Luxury Line,Hyderabad,2015,47000,0,1,First,22.69,1995.0,190.0,5.0,29.5,10,8.37,4.54
5388,Hyundai Elantra CRDi S,Ahmedabad,2015,65000,0,0,First,22.7,1582.0,126.2,5.0,7.75,10,5.56,4.54
5418,Hyundai Verna 1.6 SX,Chennai,2013,85350,0,0,Second,22.32,1582.0,126.32,5.0,5.7,12,5.66,4.46
5420,BMW 3 Series Sport,Mumbai,2016,19000,0,1,Second,21.76,1995.0,190.0,5.0,29.99,9,8.73,4.35
5430,Volkswagen Vento Diesel Highline,Bangalore,2012,65000,0,0,First,20.54,1598.0,103.6,5.0,5.5,13,5.04,4.11
5470,BMW 3 Series 320d,Bangalore,2010,58000,0,1,First,22.69,1995.0,190.0,5.0,11.5,15,8.37,4.54
5484,Hyundai Creta 1.6 SX Option Diesel,Coimbatore,2016,47392,0,0,First,20.5,1582.0,126.2,5.0,13.82,9,6.16,4.1
5558,BMW 5 Series 520d Luxury Line,Coimbatore,2016,75637,0,1,First,22.48,1995.0,190.0,5.0,30.37,9,8.45,4.5
5564,BMW 3 Series 320d Luxury Line,Kochi,2016,62404,0,1,First,22.69,1995.0,190.0,5.0,21.33,9,8.37,4.54
5568,BMW 3 Series Luxury Line,Coimbatore,2017,34232,0,1,First,21.76,1995.0,190.0,5.0,35.84,8,8.73,4.35
5589,Hyundai Elantra CRDi SX,Ahmedabad,2018,35000,0,0,First,22.7,1582.0,126.2,5.0,15.0,7,5.56,4.54
5601,BMW X1 xDrive 20d xLine,Delhi,2017,23000,0,1,First,20.68,1995.0,190.0,5.0,28.75,8,9.19,4.14
5618,BMW 5 Series 520d Sport Line,Delhi,2017,16485,0,1,First,22.48,1995.0,187.74,5.0,42.75,8,8.35,4.5
5672,Hyundai Verna 1.6 CRDi SX,Ahmedabad,2015,60000,0,0,First,23.9,1582.0,126.2,5.0,6.99,10,5.28,4.78
5721,Hyundai Verna 1.6 SX CRDi (O),Pune,2012,89000,0,0,First,22.32,1582.0,126.32,5.0,6.0,13,5.66,4.46
5727,BMW X1 xDrive 20d xLine,Kochi,2018,30733,0,1,First,20.68,1995.0,190.0,5.0,29.3,7,9.19,4.14
5762,Volvo S60 D4 Momentum,Hyderabad,2014,51000,0,1,First,27.03,1969.0,190.0,5.0,21.5,11,7.03,5.41
5779,Volkswagen Vento Konekt Diesel Highline,Chennai,2013,55000,0,0,Second,20.54,1598.0,103.6,5.0,6.1,12,5.04,4.11
5911,Skoda Rapid 1.6 TDI Ambition,Chennai,2012,55000,0,0,First,20.5,1598.0,103.5,5.0,5.9,13,5.05,4.1
5920,Hyundai Verna 1.6 SX,Kochi,2012,58646,0,0,First,22.32,1582.0,126.32,5.0,4.74,13,5.66,4.46
5929,Volkswagen Vento Diesel Highline,Chennai,2011,55595,0,0,Second,20.54,1598.0,103.6,5.0,4.3,14,5.04,4.11
5968,Skoda Rapid Ultima 1.6 TDI Elegance,Hyderabad,2013,55000,0,0,First,20.5,1598.0,103.5,5.0,8.0,12,5.05,4.1
5973,Hyundai Verna 1.6 CRDi EX MT,Kolkata,2013,53280,0,0,First,22.32,1582.0,126.3,5.0,4.7,12,5.66,4.46
